sura;aya;kemenag;transliteration_id;transcript
1;1;بِسْمِ اللّٰهِ الرَّحْمٰنِ الرَّحِيْمِ;bismillāhir-raḥmānir-raḥīm;bis mil lā hir raḥ mā nir ra ḥīm
1;2;اَلْحَمْدُ لِلّٰهِ رَبِّ الْعٰلَمِيْنَۙ;al-ḥamdu lillāhi rabbil-'ālamīn;al ḥam du lil lā hi rab bil 'ā la mīn
1;3;الرَّحْمٰنِ الرَّحِيْمِۙ;ar-raḥmānir-raḥīm;ar raḥ mā nir ra ḥīm
1;4;مٰلِكِ يَوْمِ الدِّيْنِۗ;māliki yaumid-dīn;mā li ki yau mid dīn
1;5;اِيَّاكَ نَعْبُدُ وَاِيَّاكَ نَسْتَعِيْنُۗ;iyyāka na'budu wa iyyāka nasta'īn;iy yā ka na' bu du wa iy yā ka nas ta 'īn
1;6;اِهْدِنَا الصِّرَاطَ الْمُسْتَقِيْمَ ۙ;ihdinaṣ-ṣirāṭal-mustaqīm;ih di naṣ ṣi rā ṭal mus ta qīm
1;7;صِرَاطَ الَّذِيْنَ اَنْعَمْتَ عَلَيْهِمْ ەۙ غَيْرِ الْمَغْضُوْبِ عَلَيْهِمْ وَلَا الضَّاۤلِّيْنَ ࣖ;ṣirāṭallażīna an'amta 'alaihim gairil-magḍụbi 'alaihim wa laḍ-ḍāllīn;ṣi rā ṭal la żī na an 'am ta 'a lai him gai ril mag ḍụ bi 'a lai him wa laḍ ḍāl līn
2;1;الۤمّۤ ۚ;alif lām mīm;a lif lām mīm
2;2;ذٰلِكَ الْكِتٰبُ لَا رَيْبَ ۛ فِيْهِ ۛ هُدًى لِّلْمُتَّقِيْنَۙ;żālikal-kitābu lā raiba fīh, hudal lil-muttaqīn;żā li kal ki tā bu lā rai ba fīh , hu dal lil mut ta qīn
2;3;الَّذِيْنَ يُؤْمِنُوْنَ بِالْغَيْبِ وَيُقِيْمُوْنَ الصَّلٰوةَ وَمِمَّا رَزَقْنٰهُمْ يُنْفِقُوْنَ ۙ;allażīna yu`minụna bil-gaibi wa yuqīmụnaṣ-ṣalāta wa mimmā razaqnāhum yunfiqụn;al la żī na yu` mi nụ na bil gai bi wa yu qī mụ naṣ ṣa lā ta wa mim mā ra zaq nā hum yun fi qụn
2;4;وَالَّذِيْنَ يُؤْمِنُوْنَ بِمَآ اُنْزِلَ اِلَيْكَ وَمَآ اُنْزِلَ مِنْ قَبْلِكَ ۚ وَبِالْاٰخِرَةِ هُمْ يُوْقِنُوْنَۗ;wallażīna yu`minụna bimā unzila ilaika wa mā unzila ming qablik, wa bil-ākhirati hum yụqinụn;wal la żī na yu` mi nụ na bi mā un zi la i lai ka wa mā un zi la ming qab lik , wa bil ā khi ra ti hum yụ qi nụn
2;5;اُولٰۤىِٕكَ عَلٰى هُدًى مِّنْ رَّبِّهِمْ ۙ وَاُولٰۤىِٕكَ هُمُ الْمُفْلِحُوْنَ;ulā`ika 'alā hudam mir rabbihim wa ulā`ika humul-mufliḥụn;u lā `i ka 'a lā hu dam mir rab bi him wa u lā `i ka hu mul muf li ḥụn
2;6;اِنَّ الَّذِيْنَ كَفَرُوْا سَوَاۤءٌ عَلَيْهِمْ ءَاَنْذَرْتَهُمْ اَمْ لَمْ تُنْذِرْهُمْ لَا يُؤْمِنُوْنَ;innallażīna kafarụ sawā`un 'alaihim a anżartahum am lam tunżir-hum lā yu`minụn;in nal la żī na ka fa rụ sa wā `un 'a lai him a an żar ta hum am lam tun żir hum lā yu` mi nụn
