sura;aya;kemenag;transliteration_id;transcript
1;1;بِسْمِ اللّٰهِ الرَّحْمٰنِ الرَّحِيْمِ;bismillāhir-raḥmānir-raḥīm;bis mil lā hir raḥ mā nir ra ḥīm
1;2;اَلْحَمْدُ لِلّٰهِ رَبِّ الْعٰلَمِيْنَۙ;al-ḥamdu lillāhi rabbil-'ālamīn;al ḥam du lil lā hi rab bil 'ā la mīn
1;3;الرَّحْمٰنِ الرَّحِيْمِۙ;ar-raḥmānir-raḥīm;ar raḥ mā nir ra ḥīm
1;4;مٰلِكِ يَوْمِ الدِّيْنِۗ;māliki yaumid-dīn;mā li ki yau mid dīn
1;5;اِيَّاكَ نَعْبُدُ وَاِيَّاكَ نَسْتَعِيْنُۗ;iyyāka na'budu wa iyyāka nasta'īn;iy yā ka na' bu du wa iy yā ka nas ta 'īn
1;6;اِهْدِنَا الصِّرَاطَ الْمُسْتَقِيْمَ ۙ;ihdinaṣ-ṣirāṭal-mustaqīm;ih di naṣ ṣi rā ṭal mus ta qīm
1;7;صِرَاطَ الَّذِيْنَ اَنْعَمْتَ عَلَيْهِمْ ەۙ غَيْرِ الْمَغْضُوْبِ عَلَيْهِمْ وَلَا الضَّاۤلِّيْنَ ࣖ;ṣirāṭallażīna an'amta 'alaihim gairil-magḍụbi 'alaihim wa laḍ-ḍāllīn;ṣi rā ṭal la żī na an 'am ta 'a lai him gai ril mag ḍụ bi 'a lai him wa laḍ ḍāl līn
2;1;الۤمّۤ ۚ;alif lām mīm;a lif lām mīm
2;2;ذٰلِكَ الْكِتٰبُ لَا رَيْبَ ۛ فِيْهِ ۛ هُدًى لِّلْمُتَّقِيْنَۙ;"żālikal-kitābu lā raiba fīh, hudal lil-muttaqīn";"żā li kal ki tā bu lā rai ba fīh , hu dal lil mut ta qīn"
2;3;الَّذِيْنَ يُؤْمِنُوْنَ بِالْغَيْبِ وَيُقِيْمُوْنَ الصَّلٰوةَ وَمِمَّا رَزَقْنٰهُمْ يُنْفِقُوْنَ ۙ;allażīna yu`minụna bil-gaibi wa yuqīmụnaṣ-ṣalāta wa mimmā razaqnāhum yunfiqụn;al la żī na yu` mi nụ na bil gai bi wa yu qī mụ naṣ ṣa lā ta wa mim mā ra zaq nā hum yun fi qụn
2;5;اُولٰۤىِٕكَ عَلٰى هُدًى مِّنْ رَّبِّهِمْ ۙ وَاُولٰۤىِٕكَ هُمُ الْمُفْلِحُوْنَ;ulā`ika 'alā hudam mir rabbihim wa ulā`ika humul-mufliḥụn;u lā `i ka 'a lā hu dam mir rab bi him wa u lā `i ka hu mul muf li ḥụn
2;8;وَمِنَ النَّاسِ مَنْ يَّقُوْلُ اٰمَنَّا بِاللّٰهِ وَبِالْيَوْمِ الْاٰخِرِ وَمَا هُمْ بِمُؤْمِنِيْنَۘ;wa minan-nāsi may yaqụlu āmannā billāhi wa bil-yaumil-ākhiri wa mā hum bimu`minīn;wa mi nan nā si may ya qụ lu ā man nā bil lā hi wa bil yau mil ā khi ri wa mā hum bi mu` mi nīn
2;11;وَاِذَا قِيْلَ لَهُمْ لَا تُفْسِدُوْا فِى الْاَرْضِۙ قَالُوْٓا اِنَّمَا نَحْنُ مُصْلِحُوْنَ;wa iżā qīla lahum lā tufsidụ fil arḍi qālū innamā naḥnu muṣliḥụn;wa i żā qī la la hum lā tuf si dụ fil ar ḍi qā lū in na mā naḥ nu muṣ li ḥụn
