Sura;Aya;Bagian;Arabic;Transliteration
1;1;1;بِسْمِ اللّٰهِ الرَّحْمٰنِ الرَّحِيْمِ;bismillāhir-raḥmānir-raḥīm
1;2;1;اَلْحَمْدُ لِلّٰهِ رَبِّ الْعٰلَمِيْنَۙ;al-ḥamdu lillāhi rabbil-'ālamīn
1;3;1;الرَّحْمٰنِ الرَّحِيْمِۙ;ar-raḥmānir-raḥīm
1;4;1;مٰلِكِ يَوْمِ الدِّيْنِۗ;māliki yaumid-dīn
1;5;1;اِيَّاكَ نَعْبُدُ وَاِيَّاكَ نَسْتَعِيْنُۗ;iyyāka na'budu wa iyyāka nasta'īn
1;6;1;اِهْدِنَا الصِّرَاطَ الْمُسْتَقِيْمَ ۙ;ihdinaṣ-ṣirāṭal-mustaqīm
1;7;1;صِرَاطَ الَّذِيْنَ اَنْعَمْتَ عَلَيْهِمْ ەۙ غَيْرِ الْمَغْضُوْبِ عَلَيْهِمْ وَلَا الضَّاۤلِّيْنَ ࣖ;ṣirāṭallażīna an'amta 'alaihim gairil-magḍụbi 'alaihim wa laḍ-ḍāllīn
2;1;1;الۤمّۤ ۚ;alif lām mīm
2;2;1;ذٰلِكَ الْكِتٰبُ لَا رَيْبَ ۛ فِيْهِ ۛ هُدًى لِّلْمُتَّقِيْنَۙ;żālikal-kitābu lā raiba fīh, hudal lil-muttaqīn
2;3;1;الَّذِيْنَ يُؤْمِنُوْنَ بِالْغَيْبِ وَيُقِيْمُوْنَ الصَّلٰوةَ وَمِمَّا رَزَقْنٰهُمْ يُنْفِقُوْنَ ۙ;allażīna yu`minụna bil-gaibi wa yuqīmụnaṣ-ṣalāta wa mimmā razaqnāhum yunfiqụn
2;4;1;وَالَّذِيْنَ يُؤْمِنُوْنَ بِمَآ اُنْزِلَ اِلَيْكَ وَمَآ;wāllażīna yu`minūna bimā unzila ilayka wamā 
2;4;2;اُنْزِلَ مِنْ قَبْلِكَ ۚ وَبِالْاٰخِرَةِ هُمْ يُوْقِنُوْنَۗ;unzila min qablika wabilākhirati hum yūqinūna 
2;5;1;اُولٰۤىِٕكَ عَلٰى هُدًى مِّنْ رَّبِّهِمْ ۙ وَاُولٰۤىِٕكَ هُمُ الْمُفْلِحُوْنَ;ulā`ika 'alā hudam mir rabbihim wa ulā`ika humul-mufliḥụn
2;6;1;اِنَّ الَّذِيْنَ كَفَرُوْا سَوَاۤءٌ عَلَيْهِمْ ءَاَنْذَرْتَهُمْ اَمْ لَمْ تُنْذِرْهُمْ لَا يُؤْمِنُوْنَ;innallażīna kafarụ sawā`un 'alaihim a anżartahum am lam tunżir-hum lā yu`minụn
