Sura;Aya;Bagian;Arabic;Transliteration;Transcript
1;1;1;بِسْمِ اللّٰهِ الرَّحْمٰنِ الرَّحِيْمِ;bismillāhir-raḥmānir-raḥīm;bis mil lā hir raḥ mā nir ra ḥīm
1;2;1;اَلْحَمْدُ لِلّٰهِ رَبِّ الْعٰلَمِيْنَۙ;al-ḥamdu lillāhi rabbil-'ālamīn;al ḥam du lil lā hi rab bil 'ā la mīn
1;3;1;الرَّحْمٰنِ الرَّحِيْمِۙ;ar-raḥmānir-raḥīm;ar raḥ mā nir ra ḥīm
1;4;1;مٰلِكِ يَوْمِ الدِّيْنِۗ;māliki yaumid-dīn;mā li ki yau mid dīn
1;5;1;اِيَّاكَ نَعْبُدُ وَاِيَّاكَ نَسْتَعِيْنُۗ;iyyāka na'budu wa iyyāka nasta'īn;iy yā ka na' bu du wa iy yā ka nas ta 'īn
1;6;1;اِهْدِنَا الصِّرَاطَ الْمُسْتَقِيْمَ ۙ;ihdinaṣ-ṣirāṭal-mustaqīm;ih di naṣ ṣi rā ṭal mus ta qīm
1;7;1;صِرَاطَ الَّذِيْنَ اَنْعَمْتَ عَلَيْهِمْ ەۙ غَيْرِ الْمَغْضُوْبِ عَلَيْهِمْ وَلَا الضَّاۤلِّيْنَ ࣖ;ṣirāṭallażīna an'amta 'alaihim gairil-magḍụbi 'alaihim wa laḍ-ḍāllīn;ṣi rā ṭal la żī na an 'am ta 'a lai him gai ril mag ḍụ bi 'a lai him wa laḍ ḍāl līn
2;1;1;الۤمّۤ ۚ;alif lām mīm;a lif lām mīm
2;2;1;ذٰلِكَ الْكِتٰبُ لَا رَيْبَ ۛ فِيْهِ ۛ هُدًى لِّلْمُتَّقِيْنَۙ;żālikal-kitābu lā raiba fīh, hudal lil-muttaqīn;żā li kal ki tā bu lā rai ba fīh , hu dal lil mut ta qīn
2;3;1;الَّذِيْنَ يُؤْمِنُوْنَ بِالْغَيْبِ وَيُقِيْمُوْنَ الصَّلٰوةَ وَمِمَّا رَزَقْنٰهُمْ يُنْفِقُوْنَ ۙ;allażīna yu`minụna bil-gaibi wa yuqīmụnaṣ-ṣalāta wa mimmā razaqnāhum yunfiqụn;al la żī na yu` mi nụ na bil gai bi wa yu qī mụ naṣ ṣa lā ta wa mim mā ra zaq nā hum yun fi qụn
2;4;1;وَالَّذِيْنَ يُؤْمِنُوْنَ بِمَآ اُنْزِلَ اِلَيْكَ وَمَآ;wallażīna yu`minụna bimā unzila ilaika wa mā;wal la żī na yu` mi nụ na bi mā un zi la i lai ka wa mā
2;4;2;اُنْزِلَ مِنْ قَبْلِكَ ۚ وَبِالْاٰخِرَةِ هُمْ يُوْقِنُوْنَۗ; unzila ming qablik, wa bil-ākhirati hum yụqin;ā un zi la ming qab lik , wa bil ā khi ra ti hum yụ qi n
2;5;1;اُولٰۤىِٕكَ عَلٰى هُدًى مِّنْ رَّبِّهِمْ ۙ وَاُولٰۤىِٕكَ هُمُ الْمُفْلِحُوْنَ;ulā`ika 'alā hudam mir rabbihim wa ulā`ika humul-mufliḥụn;u lā `i ka 'a lā hu dam mir rab bi him wa u lā `i ka hu mul muf li ḥụn
2;6;1;اِنَّ الَّذِيْنَ كَفَرُوْا سَوَاۤءٌ عَلَيْهِمْ ءَاَنْذَرْتَهُمْ اَمْ لَمْ تُنْذِرْهُمْ لَا يُؤْمِنُوْنَ;innallażīna kafarụ sawā`un 'alaihim a anżartahum am lam tunżir-hum lā yu`minụn;in nal la żī na ka fa rụ sa wā `un 'a lai him a an żar ta hum am lam tun żir hum lā yu` mi nụn
2;7;1;خَتَمَ اللّٰهُ عَلٰى قُلُوْبِهِمْ وَعَلٰى سَمْعِهِمْ ۗ وَعَلٰٓى;khatamallāhu 'alā qulụbihim wa 'alā sam'ihim, wa 'a;l llā hu 'a lā qu lụ bi him wa 'a lā sam 'i him , wa 'a lā ab ṣā r
2;7;2;اَبْصَارِهِمْ غِشَاوَةٌ وَّلَهُمْ عَذَابٌ عَظِيْمٌ ࣖ;ā abṣārihim gisyāwatuw wa lahum 'ażābun 'aẓīm;lā ab ṣā ri him gi syā wa tuw wa la hum 'a żā bun 'a ẓīm
2;8;1;وَمِنَ النَّاسِ مَنْ يَّقُوْلُ اٰمَنَّا بِاللّٰهِ وَبِالْيَوْمِ الْاٰخِرِ وَمَا هُمْ بِمُؤْمِنِيْنَۘ;wa minan-nāsi may yaqụlu āmannā billāhi wa bil-yaumil-ākhiri wa mā hum bimu`minīn;wa mi nan nā si may ya qụ lu ā man nā bil lā hi wa bil yau mil ā khi ri wa mā hum bi mu` mi nīn
2;9;1;يُخٰدِعُوْنَ اللّٰهَ وَالَّذِيْنَ اٰمَنُوْا ۚ وَمَا يَخْدَعُوْنَ اِلَّآ اَنْفُسَهُمْ وَمَا يَشْعُرُوْنَۗ;yukhādi'ụnallāha wallażīna āmanụ, wa mā yakhda'ụna illā anfusahum wa mā yasy'urụn;l llā ha wal la żī na ā ma nụ , wa mā yakh da 'ụ na il lā an fu sa hum wa mā yasy 'u rụn
2;10;1;فِيْ قُلُوْبِهِمْ مَّرَضٌۙ فَزَادَهُمُ اللّٰهُ مَرَضًاۚ;fī qulụbihim maraḍun fa zādahumullāhu maraḍā,;fī qu lụ bi him ma ra ḍun fa zā da hu mull llā hu ma ra ḍ
2;10;2;وَلَهُمْ عَذَابٌ اَلِيْمٌ ۢ ەۙ بِمَا كَانُوْا يَكْذِبُوْنَ;wa lahum 'ażābun alīmum bimā kānụ yakżibụn;, wa la hum 'a żā bun a lī mum bi mā kā nụ yak żi bụn
2;11;1;وَاِذَا قِيْلَ لَهُمْ لَا تُفْسِدُوْا فِى الْاَرْضِۙ قَالُوْٓا اِنَّمَا نَحْنُ مُصْلِحُوْنَ;wa iżā qīla lahum lā tufsidụ fil arḍi qālū innamā naḥnu muṣliḥụn;wa i żā qī la la hum lā tuf si dụ fil ar ḍi qā lū in na mā naḥ nu muṣ li ḥụn
2;12;1;اَلَآ اِنَّهُمْ هُمُ الْمُفْسِدُوْنَ وَلٰكِنْ لَّا يَشْعُرُوْنَ;alā innahum humul-mufsidụna wa lākil lā yasy'urụn;a lā in na hum hu mul muf si dụ na wa lā kil lā yasy 'u rụn
2;13;1;وَاِذَا قِيْلَ لَهُمْ اٰمِنُوْا كَمَآ اٰمَنَ النَّاسُ قَالُوْٓا اَنُؤْمِنُ كَمَآ اٰمَنَ; iżā qīla lahum āminụ kamā āmanan-nāsu qālū a nu`minu kamā āmana;a i żā qī la la hum ā mi nụ ka mā ā ma nan nā su qā lū a nu` mi nu ka mā ā ma na
2;13;2;السُّفَهَاۤءُ ۗ اَلَآ اِنَّهُمْ هُمُ السُّفَهَاۤءُ وَلٰكِنْ لَّا يَعْلَمُوْنَ;nas-sufahā`, alā innahum humus-sufahā`u wa lākil lā ya'lamụn;a nas su fa hā` , a lā in na hum hu mus su fa hā `u wa lā kil lā ya' la mụn
2;14;1;وَاِذَا لَقُوا الَّذِيْنَ اٰمَنُوْا قَالُوْٓا اٰمَنَّا ۚ وَاِذَا خَلَوْا اِلٰى;iżā laqullażīna āmanụ qālū āmannā, wa iżā khalau ilā;a i żā la qul la żī na ā ma nụ qā lū ā man nā , wa i żā kha lau i lā
2;14;2;شَيٰطِيْنِهِمْ ۙ قَالُوْٓا اِنَّا مَعَكُمْ ۙاِنَّمَا نَحْنُ مُسْتَهْزِءُوْنَ; syayāṭīnihim qālū innā ma'akum innamā naḥnu mustahzi`ụn;ā sya yā ṭī ni him qā lū in nā ma 'a kum in na mā naḥ nu mus tah zi `ụn
