id;aya;sura;transcript;created_at;updated_at
1;"0";"0";a 'u żu bil lā hi mi nasy syai ṭā nir ra jīm;;
2;1;1;bis mil lā hir raḥ mā nir ra ḥīm;;
3;2;1;al ḥam du lil lā hi rab bil 'ā la mīn;;
4;3;1;ar raḥ mā nir ra ḥīm;;
5;4;1;mā li ki yau mid dīn;;
6;5;1;iy yā ka na' bu du wa iy yā ka nas ta 'īn;;
7;6;1;ih di naṣ ṣi rā ṭal mus ta qīm;;
8;7;1;ṣi rā ṭal la żī na an 'am ta 'a lai him gai ril mag ḍụ bi 'a lai him wa laḍ ḍāl līn;;
9;1;2;a lif lām mīm;;
10;2;2;"żā li kal ki tā bu lā rai ba fīh , hu dal lil mut ta qīn";;
11;3;2;al la żī na yu` mi nụ na bil gai bi wa yu qī mụ naṣ ṣa lā ta wa mim mā ra zaq nā hum yun fi qụn;;
12;4;2;"wal la żī na yu` mi nụ na bi mā un zi la i lai ka wa mā un zi la ming qab lik , wa bil ā khi ra ti hum yụ qi nụn";;
13;5;2;u lā `i ka 'a lā hu dam mir rab bi him wa u lā `i ka hu mul muf li ḥụn;;
14;6;2;in nal la żī na ka fa rụ sa wā `un 'a lai him a an żar ta hum am lam tun żir hum lā yu` mi nụn;;
15;7;2;"kha ta mall llā hu 'a lā qu lụ bi him wa 'a lā sam 'i him , wa 'a lā ab ṣā ri him gi syā wa tuw wa la hum 'a żā bun 'a ẓīm";;
16;8;2;wa mi nan nā si may ya qụ lu ā man nā bil lā hi wa bil yau mil ā khi ri wa mā hum bi mu` mi nīn;;
17;9;2;"yu khā di 'ụ nall llā ha wal la żī na ā ma nụ , wa mā yakh da 'ụ na il lā an fu sa hum wa mā yasy 'u rụn";;
18;10;2;"fī qu lụ bi him ma ra ḍun fa zā da hu mull llā hu ma ra ḍā , wa la hum 'a żā bun a lī mum bi mā kā nụ yak żi bụn";;
19;11;2;wa i żā qī la la hum lā tuf si dụ fil ar ḍi qā lū in na mā naḥ nu muṣ li ḥụn;;
20;12;2;a lā in na hum hu mul muf si dụ na wa lā kil lā yasy 'u rụn;;
21;13;2;"wa i żā qī la la hum ā mi nụ ka mā ā ma nan nā su qā lū a nu` mi nu ka mā ā ma nas su fa hā` , a lā in na hum hu mus su fa hā `u wa lā kil lā ya' la mụn";;
22;14;2;"wa i żā la qul la żī na ā ma nụ qā lū ā man nā , wa i żā kha lau i lā sya yā ṭī ni him qā lū in nā ma 'a kum in na mā naḥ nu mus tah zi `ụn";;
23;15;2;all llā hu yas tah zi `u bi him wa ya mud du hum fī ṭug yā ni him ya' ma hụn;;
24;16;2;u lā `i kal la żī nasy ta ra wuḍ ḍa lā la ta bil hu dā fa mā ra bi ḥat ti jā ra tu hum wa mā kā nụ muh ta dīn;;
25;17;2;"ma ṡa lu hum ka ma ṡa lil la żis tau qa da nā rā , fa lam mā a ḍā `at mā ḥau la hụ ża ha ball llā hu bi nụ ri him wa ta ra ka hum fī ẓu lu mā til lā yub ṣi rụn";;
26;18;2;ṣum mum buk mun 'um yun fa hum lā yar ji 'ụn;;
27;19;2;"au ka ṣay yi bim mi nas sa mā `i fī hi ẓu lu mā tuw wa ra' duw wa barq , yaj 'a lụ na a ṣā bi 'a hum fī ā żā ni him mi naṣ ṣa wā 'i qi ḥa ża ral maụt , wall llā hu mu ḥī ṭum bil kā fi rīn";;
28;20;2;"ya kā dul bar qu yakh ṭa fu ab ṣā ra hum , kul la mā a ḍā `a la hum ma syau fī hi wa i żā aẓ la ma 'a lai him qā mụ , wa lau syā `all llā hu la ża ha ba bi sam 'i him wa ab ṣā ri him , in nall llā ha 'a lā kul li syai `ing qa dīr";;
29;21;2;yā ay yu han nā su' bu dụ rab ba ku mul la żī kha la qa kum wal la żī na ming qab li kum la 'al la kum tat ta qụn;;
30;22;2;"al la żī ja 'a la la ku mul ar ḍa fi rā syaw was sa mā `a bi nā `aw wa an za la mi nas sa mā `i mā `an fa akh ra ja bi hī mi naṡ ṡa ma rā ti riz qal la kum , fa lā taj 'a lụ lil lā hi an dā daw wa an tum ta' la mụn";;
31;23;2;wa ing kun tum fī rai bim mim mā naz zal nā 'a lā 'ab di nā fa` tụ bi sụ ra tim mim miṡ li hī wad 'ụ syu ha dā `a kum min dụ nil lā hi ing kun tum ṣā di qīn;;
32;24;2;fa il lam taf 'a lụ wa lan taf 'a lụ fat ta qun nā ral la tī wa qụ du han nā su wal ḥi jā ra tu u 'id dat lil kā fi rīn;;
33;25;2;"wa basy syi ril la żī na ā ma nụ wa 'a mi luṣ ṣā li ḥā ti an na la hum jan nā tin taj rī min taḥ ti hal an hār , kul la mā ru zi qụ min hā min ṡa ma ra tir riz qang qā lụ hā żal la żī ru ziq nā ming qab lu wa u tụ bi hī mu ta syā bi hā , wa la hum fī hā az wā jum mu ṭah ha ra tuw wa hum fī hā khā li dụn";;
34;26;2;"in nall llā ha lā yas taḥ yī ay yaḍ ri ba ma ṡa lam mā ba 'ụ ḍa tan fa mā fau qa hā , fa am mal la żī na ā ma nụ fa ya' la mụ na an na hul ḥaq qu mir rab bi him , wa am mal la żī na ka fa rụ fa ya qụ lụ na mā żā a rā dall llā hu bi hā żā ma ṡa lā , yu ḍil lu bi hī ka ṡī raw wa yah dī bi hī ka ṡī rā , wa mā yu ḍil lu bi hī il lal fā si qīn";;
35;27;2;"al la żī na yang qu ḍụ na 'ah dall llā hi mim ba' di mī ṡā qi hī wa yaq ṭa 'ụ na mā a ma rall llā hu bi hī ay yụ ṣa la wa yuf si dụ na fil arḍ , u lā `i ka hu mul khā si rụn";;
36;28;2;"kai fa tak fu rụ na bil lā hi wa kun tum am wā tan fa aḥ yā kum , ṡum ma yu mī tu kum ṡum ma yuḥ yī kum ṡum ma i lai hi tur ja 'ụn";;
37;29;2;"hu wal la żī kha la qa la kum mā fil ar ḍi ja mī 'an ṡum mas ta wā i las sa mā `i fa saw wā hun na sab 'a sa mā wāt , wa hu wa bi kul li syai `in 'a līm";;
38;30;2;"wa iż qā la rab bu ka lil ma lā `i ka ti in nī jā 'i lun fil ar ḍi kha lī fah , qā lū a taj 'a lu fī hā may yuf si du fī hā wa yas fi kud di mā` , wa naḥ nu nu sab bi ḥu bi ḥam di ka wa nu qad di su lak , qā la in nī a' la mu mā lā ta' la mụn";;
39;31;2;wa 'al la ma ā da mal as mā `a kul la hā ṡum ma 'a ra ḍa hum 'a lal ma lā `i ka ti fa qā la am bi `ụ nī bi `as mā `i hā `u lā `i ing kun tum ṣā di qīn;;
40;32;2;"qā lụ sub ḥā na ka lā 'il ma la nā il lā mā 'al lam ta nā , in na ka an tal 'a lī mul ḥa kīm";;
41;33;2;"qā la yā ā da mu am bi` hum bi `as mā `i him , fa lam mā am ba `a hum bi `as mā `i him qā la a lam a qul la kum in nī a' la mu gai bas sa mā wā ti wal ar ḍi wa a' la mu mā tub dụ na wa mā kun tum tak tu mụn";;
42;34;2;"wa iż qul nā lil ma lā `i ka tis ju dụ li `ā da ma fa sa ja dū il lā ib līs , a bā was tak ba ra wa kā na mi nal kā fi rīn";;
43;35;2;wa qul nā yā ā da mus kun an ta wa zau ju kal jan na ta wa ku lā min hā ra ga dan ḥai ṡu syi` tu mā wa lā taq ra bā hā żi hisy sya ja ra ta fa ta kụ nā mi naẓ ẓā li mīn;;
44;36;2;"fa a zal la hu masy syai ṭā nu 'an hā fa akh ra ja hu mā mim mā kā nā fī hi wa qul nah bi ṭụ ba' ḍu kum li ba' ḍin 'a duww , wa la kum fil ar ḍi mus ta qar ruw wa ma tā 'un i lā ḥīn";;
45;37;2;"fa ta laq qā ā da mu mir rab bi hī ka li mā tin fa tā ba 'a laīh , in na hụ hu wat taw wā bur ra ḥīm";;
